Date,Price (USD)
2022-11-03,0.8943077079778237
2022-11-04,0.8798587182392776
2022-11-05,1.0487008482588236
2022-11-06,1.0172685444562195
2022-11-07,1.0083912157070962
2022-11-08,0.9724970241738162
2022-11-09,0.9207191986927239
2022-11-10,0.7885720444197323
2022-11-11,0.9008032060617961
2022-11-12,0.9150834245258931
2022-11-13,0.8833714728896724
2022-11-14,0.8024779781724802
2022-11-15,0.9237554102948838
2022-11-16,0.9113280858428412
2022-11-17,0.8757742715309694
2022-11-18,0.868883372711221
2022-11-19,0.825708775890525
2022-11-20,0.8459473296433317
2022-11-21,0.829830494175531
2022-11-22,0.817520365507888
2022-11-23,0.8280650565306328
2022-11-24,0.8562786730975961
2022-11-25,0.8589123488689513
2022-11-26,0.8457374195822309
2022-11-27,0.8451834386176045
2022-11-28,0.8518654064976253
2022-11-29,0.863098513507269
2022-11-30,0.8657908177346558
2022-12-01,0.8750663213302579
2022-12-02,0.907267114164172
2022-12-03,0.9493252857996503
2022-12-04,0.9221981745452154
2022-12-05,0.9309336186760926
2022-12-06,0.9672197837011227
2022-12-07,0.9669368329427429
2022-12-08,0.9429902872620424
2022-12-09,0.9443221140003825
2022-12-10,0.9231620463813934
2022-12-11,0.9450913845731895
2022-12-12,0.9954542676448345
2022-12-13,0.9969050968702785
2022-12-14,1.0266275435162349
2022-12-15,1.0268576186561935
2022-12-16,0.9646411126344018
2022-12-17,0.938281153099942
2022-12-18,0.9228607423219013
2022-12-19,0.9572525300489841
2022-12-20,0.9291360067397367
2022-12-21,0.9255714583649959
2022-12-22,0.9371606507814534
2022-12-23,0.9213236266310494
2022-12-24,0.9209266176111984
2022-12-25,0.9244282729081578
2022-12-26,0.9090602595474622
2022-12-27,0.903218982110651
2022-12-28,0.8978767398866271
2022-12-29,0.8822616230353472
2022-12-30,0.8597550686901708
2022-12-31,0.8501101431663335
2023-01-01,0.8278668115423542
2023-01-02,0.8574528920820879
2023-01-03,0.8717650877291082
2023-01-04,0.8513486942004346
2023-01-05,0.8557441659285351
2023-01-06,0.8415305164752328
2023-01-07,0.8449036940433173
2023-01-08,0.8386954150074952
2023-01-09,0.8670032899335552
2023-01-10,0.8728275202581248
2023-01-11,0.887918323683631
2023-01-12,0.8865618101576401
2023-01-13,0.9354275599055534
2023-01-14,0.9493793059909088
2023-01-15,0.9940960550606442
2023-01-16,0.9708317591329427
2023-01-17,0.9528577574376611
2023-01-18,0.9366654369642844
2023-01-19,0.8966498409455232
2023-01-20,0.9329997884243493
2023-01-21,0.9857583690474395
2023-01-22,1.062764930522277
2023-01-23,1.0625154487347408
2023-01-24,1.199109467070485
2023-01-25,1.1126158740169172
2023-01-26,1.1448279413110212
2023-01-27,1.1713124456446304
2023-01-28,1.1641182939838832
2023-01-29,1.1951370722178405
2023-01-30,1.2795390307597303
2023-01-31,1.2028650008677155
2023-02-01,1.225492701965786
2023-02-02,1.299771165919175
2023-02-03,1.3173973273936739
2023-02-04,1.4152395638898647
2023-02-05,1.3677632995368616
2023-02-06,1.3231138873148114
2023-02-07,1.3677250395050775
2023-02-08,1.4324656065073351
2023-02-09,1.355009019778363
2023-02-10,1.2092077105583594
2023-02-11,1.275623503572166
2023-02-12,1.3841831741452786
2023-02-13,1.5648169666143295
2023-02-14,1.501669856493968
2023-02-15,1.5703695181008503
2023-02-16,1.7786901504112982
2023-02-17,1.8244171402053773
2023-02-18,1.8555845785724807
2023-02-19,1.8478532565172847
2023-02-20,1.787640464370059
2023-02-21,1.7559196593658708
2023-02-22,1.6351507725746075
2023-02-23,1.6475287489125614
2023-02-24,1.5817223620369132
2023-02-25,1.5031974499278278
2023-02-26,1.5093430966645953
2023-02-27,1.607716048126434
2023-02-28,1.5261547420015422
2023-03-01,1.4996148118100394
2023-03-02,1.5081748156881327
2023-03-03,1.4420844798792323
2023-03-04,1.4071512650799718
2023-03-05,1.4270846052513393
2023-03-06,1.4400669338126766
2023-03-07,1.43547160296871
2023-03-08,1.389039189842519
2023-03-09,1.3146132576686689
2023-03-10,1.244127584386796
2023-03-11,1.2522612554050558
2023-03-12,1.2205469752585485
2023-03-13,1.2987129780301754
2023-03-14,1.402551766672123
2023-03-15,1.4747380969403523
2023-03-16,1.407003210193458
2023-03-17,1.4553714207558732
2023-03-18,1.5036874779351637
2023-03-19,1.4351451413892486
2023-03-20,1.4839748505344326
2023-03-21,1.4257557451194849
2023-03-22,1.4309496718947095
2023-03-23,1.528325431864264
2023-03-24,1.5399642116876249
2023-03-25,1.4402427000189817
2023-03-26,1.4644288456058385
2023-03-27,1.5060162929252396
2023-03-28,1.434409985243444
2023-03-29,1.4782701109515202
2023-03-30,1.588914224675395
2023-03-31,1.512107118921483
2023-04-01,1.526813436482031
2023-04-02,1.5097413442630363
2023-04-03,1.4468515267923951
2023-04-04,1.3790558255032697
2023-04-05,1.417377659952685
2023-04-06,1.3887504898656295
2023-04-07,1.3504136748709241
2023-04-08,1.3385552750018161
2023-04-09,1.3280511405539128
2023-04-10,1.3863685108667108
2023-04-11,1.407094499082131
2023-04-12,1.419418166857779
2023-04-13,1.3874111437370276
2023-04-14,1.4276757051994795
2023-04-15,1.4540755351168035
2023-04-16,1.411415985534623
2023-04-17,1.4893384192789956
2023-04-18,1.5353927777215661
2023-04-19,1.505483422288785
2023-04-20,1.3959639091113492
2023-04-21,1.3473557842600445
2023-04-22,1.3165153345267167
2023-04-23,1.3328793569357116
2023-04-24,1.3074017921127838
