Date,TZERO
2023-04-26,938080.65346468481
2023-04-27,1013962.951460031724
2023-04-28,639453.745035207127
2023-04-29,225009.04616
2023-04-30,800333.08744
2023-05-01,673094.396360000501
2023-05-02,457018.07364
2023-05-03,696657.357080000027
2023-05-04,3401721.03508451723
2023-05-05,735039.215007747347
2023-05-06,926216.01712
2023-05-07,475019.15556
2023-05-08,716013.042760000501
2023-05-09,624635.998481004001
2023-05-10,676612.19955900398
2023-05-11,1713460.957642168462
2023-05-12,475331.98568000006
2023-05-13,475025.667920000001
2023-05-14,426667.75368
2023-05-15,602398.35092
2023-05-16,638736.814618311502
2023-05-17,537498.373622672302
2023-05-18,1803246.00859
2023-05-19,795446.472984977889
2023-05-20,644749.999586943309
2023-05-21,644906.18588
2023-05-22,1328091.141273235207
2023-05-23,480544.019868191824
2023-05-24,29715872.968714123693
2023-05-25,6606023.928680773253
2023-05-26,425038.20252
2023-05-27,706596.834280262199
2023-05-28,341771.47884003
2023-05-29,55337869.439185373516
2023-05-30,787408.44299043992
2023-05-31,1139102.479530637099
2023-06-01,958211.389102107691
2023-06-02,500147.900945324543
2023-06-03,1248154.148869613942
2023-06-04,825133.139
2023-06-05,575954.623418498294
2023-06-06,671855.66639119164
2023-06-07,573285.16024206049
2023-06-08,543505.023448946926
2023-06-09,575260.7560214385
2023-06-10,1933807.101857156454
2023-06-11,431165.450322829076
2023-06-12,456454.882429002752
2023-06-13,425532.4294
2023-06-14,477634.81812
2023-06-15,627506.238743175503
2023-06-16,1729240.976849583047
2023-06-17,375818.41744
2023-06-18,428597.095405469013
2023-06-19,577665.248
2023-06-20,609863.56368
2023-06-21,1817605.216427010061
2023-06-22,1542780.55908
2023-06-23,991845.46922
2023-06-24,809326.18996
2023-06-25,2200691.87956
2023-06-26,994879.539987504743
2023-06-27,819739.658598405433
2023-06-28,1746061.044484420063
2023-06-29,946847.764959999
2023-06-30,1049358.42771481838
2023-07-01,503505.33732
2023-07-02,986596.262879998
2023-07-03,838344.691757361441
2023-07-04,351119.140239997
2023-07-05,1121453.236001125411
2023-07-06,633909.918679998
2023-07-07,604466.021879604125
2023-07-08,1860991.39283277615
2023-07-09,3268648.232781214982
2023-07-10,1891012.620097648778
2023-07-11,1244035.928495146378
2023-07-12,2613361.638389197898
2023-07-13,2799043.478042095445
2023-07-14,1839343.065453618786
2023-07-15,1311504.3538406445
2023-07-16,660410.685247231281
2023-07-17,1963553.673400000001
