Validator,Self-Bonded(AZERO),Total Bonded(AZERO),Nominators,Commission,Grandpa Vote,Reward Point,Latest Mining
5F9nb9HSF5w5D5qfAaN2zqsHTQFBTXQ3CZJwarY3dBvMA3Zo,"31,765.19230641212","60,728.54369193416",5,5.00%,0,94010,91002562
5CfUzQNGwydem2RBfu1DGQ3KvbZNHEaxbMfYyoWv4NHQa8Rs,"25,000","53,412.62538825606",2,5.00%,0,82670,91003453
5HT68JHy3M8rJU6ovBBg3KUvqWvUfSffJxKSa8n4ssoJmTsN,"30,468.84000175648","48,929.69444086064",4,5.00%,0,75740,91000794
5DfdrtoTXw8hRwe81QrZyPJiEqjB2W4nhE7hsezMQvNZvqqp,"26,376","43,348.6220058379",5,5.00%,0,67095,91004119
5DPcDj9gtW51M6JnZTdDGApXN7os1DdeLZEBe984abKKzCXF,"25,091.9999999995","43,115.00136507318",3,5.00%,0,66745,91004103
5CQKzKrjb6SpLeP3goUYH7E9dHbb66LsBtF8sNAPmaRjf2gF,"25,573.7527712091","41,692.38333703004",2,5.00%,0,64540,91003489
5Gxd4GGJLf4yvKfGwgsCUwDYQUuJskMhZ8fdz7sNBV9ssFUa,"25,000","41,305.2485592809",1,5.00%,0,63945,91001653
5FTuNxTmx8iFrA9mb4ES9hpkvtULju16o9HPjzG4QWuTzW1H,"32,897.86076615906","40,771.61339312902",2,5.00%,0,63105,91004081
5DtQWZdHgtsW9i7MnPJ3qpmmrQu2umfVPATVqFxyyKb5y1Bb,"25,001.73197192512","39,713.0376654216",3,5.00%,0,61460,91003495
5CzQieKZF9SNqq8ETKt5ne1C6p84HNaBDQKo2PndAprT5nFw,"25,000","37,918.68228936386",2,5.00%,0,58695,91003458
5CPJtDEP3CNexY4TrQZ4qFGpUAopEdvs3akjjiyYmW6JRPNC,"25,034.9979532023","36,769.00623913972",1,5.00%,0,56910,91004090
5CVWRBm7RtWR9pfk1K3z4WSJPpK5yNUJ9FmkXWCGW9qrjhsA,"25,072.9999999995","35,001.78955228064",3,5.00%,0,54180,91001656
5CShTyMCX3bGzFNMjtZLo4nmsFCDVKoUV13PCUhnb39pxLa8,"34,854.3213607598","34,854.3213607598",0,5.00%,0,53935,91002588
5FgwXv7Kjv6TYGKgfwCfHL3opwTkAPjWsFRcfwDwqeegAywL,"25,000","33,461.42313567834",2,5.00%,0,51800,91003490
5FNmqkNigvEvWeWcjLV3yYL3wjF7H4YxPjt8YJQq9SkRz6DZ,"25,000","33,100.23704699228",2,5.00%,0,51240,91004086
5CAXBpWWrmaaQXn9CjThsL92itUfDRYDhDBM3HkkY4H9UC7V,"25,535.9999999995","33,055.48647992208",3,5.00%,0,51170,91001698
5DAeLpCn8Jwbz9dJGwt5pYgxovTmX3VALySUD2iJ55G5u2iY,"26,428.90404902148","31,563.58259346868",2,5.00%,0,48860,91000791
5DFcfLmaYmKCztB7e8cf6hRkPedc9JXgHkjD7LQFm8CRFNqX,"25,034.9979532023","30,927.29613495626",1,5.00%,0,47880,91003498
5H8bmvZPeJMxqu2c8hfa1cN3i29RvqKca9giGn2nmD92L3Rn,"25,099.9979532023","30,587.23490012894",1,5.00%,0,47355,91004109
5CiUqH44exTaZpEouaPafKR7cL9dAU4sGHqeg9eMa6SKFFGL,"25,000","30,478.28264946854",1,5.00%,0,47180,91001696
5HJw7zFnX3VmxU7tfKgeMjKZhcA5uJdpfxqU2i12iCiddjiV,"25,000","30,124.5165517728",2,5.00%,0,46620,91000765
5CUtp1hNoFDz7W3yPgphJHw8dwzEKnQBYYXB6oq6pZ83ynzL,"25,000","30,054.11845699298",1,5.00%,0,46515,91000790
5FZS8CjeeysTNtLurLmZKb7EgRmVxwb72Pnes1irVbbgf28p,"25,000","29,439.74459382624",2,5.00%,0,45570,91003476
5E21RjnbVvb5VHaoouuHpMwDx3Y7bmeE1wV5fL44cD7hRK8S,"25,000","28,402.68885383922",1,5.00%,0,43960,91001691
5CkXD22v1L5tgVCzDtu6QPhbJEgCive5A5cRTdNEzHJUcXyx,"25,858.9999999995","28,021.47917414582",1,5.00%,0,43365,91001675
5EXACYH9LDfD8s2ZdDF9MidwtHdCPvPCNubh8T9o3sNwoyvj,"25,858.9999999995","27,889.17549368288",1,5.00%,0,43155,91003485
5CffuSz6PnrKnVHSWEM42qfX47sxLiztj8XxJfkn2CDFM5BM,"25,070.9999999995","27,708.410634052",1,5.00%,0,42875,91004116
5FEt4URsJxiyMtXJwPiti5TFckULdtszLVpcLNU4beoEWV3A,"25,000","27,201.8092300391",1,5.00%,0,42105,91001666
5Cu3tMLK17GUUQ8rCwZkVVyHTfr1CfSSkEE4u5zLAraPm1TR,"25,000","27,109.93111820972",1,5.00%,0,41965,91002582
5GKcXLLub2Cd26dnzfDit99uJ5wZZhtcXuJLWxzxynHhxvfd,"26,092","26,092",0,5.00%,0,40390,91004098
5GLQJ5mD1PbaeJ2KKc2Btn6eodMxVBJqT27WFsaSuMX82G8Y,"25,253","25,253",0,5.00%,0,39095,91002558
5DxrqFfMPP6pUigSkSqKgHtgdwe8gtjGRsBNkW9xs9YfdHv8,"25,043.99769093014","25,043.99769093014",0,5.00%,0,38780,91002564
